"kingdom","phylum","class","order","family","sub_family","genus","iucn_threat_status","common_name_description","Sampling.Point","value","Species"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att01_mzb1",3,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att01_mzb2",5,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att02_mzb3",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att02_mzb4",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att03_mzb5",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att03_mzb6",7,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att04_mzb7",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att04_mzb8",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x040724_att05_mzb4",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x040724_att06_mzb5",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att08_mzb9",6,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x050724_att08_mzb10",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x100724_att09_mzb9",3,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x100724_att09_mzb10",3,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x100724_att12_mzb3",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x100724_att12_mzb4",4,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x030724_att19_mzb3",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x030724_att19_mzb4",3,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x030724_att20_mzb5",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att21_mzb7",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att21_mzb8",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att22_mzb1",3,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att22_mzb2",6,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att23_mzb3",5,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att23_mzb4",4,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att24_mzb5",7,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010724_att24_mzb6",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att01_mzb1",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att01_mzb2",40,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att02_mzb3",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att03_mzb5",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att03_mzb6",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att04_mzb7",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att04_mzb8",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x040724_att05_mzb3",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x040724_att05_mzb4",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x040724_att06_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x040724_att07_mzb2",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att08_mzb9",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x050724_att08_mzb10",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att09_mzb9",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att09_mzb10",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att10_mzb11",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att10_mzb12",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att12_mzb3",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att13_mzb1",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x100724_att14_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x020724_att16_mzb3",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x020724_att17_mzb5",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x030724_att18_mzb1",1,"Glossiphoniidae"
