"kingdom","phylum","class","order","family","sub_family","genus","iucn_threat_status","common_name_description","Sampling.Point","value","Species"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010824_kn10_mzb1",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010824_kn11_mzb3",1,"Erpobdella"
"Animalia","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae",NA,"Erpobdella",1,"leech, transverse eyes","x010824_kn11_mzb4",2,"Erpobdella"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x300724_kn02_mzb3",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x300724_kn03_mzb5",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x300724_kn03_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x300724_kn04_mzb7",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x310724_kn05_mzb2",51,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x310724_kn08_mzb8",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010824_kn11_mzb3",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010824_kn11_mzb4",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010824_kn13_mzb7",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x310724_kn05_mzb2",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010824_kn11_mzb3",1,"Glossiphoniidae"
