Site,Location_ID,Lat,Long,Habitat,UK_Name,Scientific Name,Month_ID ,Month 1 Days Detected (%),Conservation Status (IUCN GB),,
Attenborough,1,52.90123,-1.239022,willow scrub,Chiffchaff,Phylloscopus collybita,2009,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Wren,Troglodytes troglodytes,1346,100,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Canada Goose,Branta canadensis,1115,100,introduced,,
Attenborough,1,52.90123,-1.239022,willow scrub,Blackcap,Sylvia atricapilla,857,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Garden Warbler,Sylvia borin,587,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Blackbird,Turdus merula,352,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Greenfinch,Chloris chloris,323,100,red,,
Attenborough,1,52.90123,-1.239022,willow scrub,Blue Tit,Cyanistes caeruleus,244,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Great Tit,Parus major,199,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Dunnock,Prunella modularis,140,100,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Long-tailed Tit,Aegithalos caudatus,117,87.5,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Oystercatcher,Haematopus ostralegus,98,100,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Robin,Erithacus rubecula,82,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Woodpigeon,Columba palumbus,77,75,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Cettis Warbler,Cettia cetti,68,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Magpie,Pica pica,64,100,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Song Thrush,Turdus philomelos,53,75,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Greylag Goose,Anser anser,46,87.5,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Common Tern,Sterna hirundo,45,75,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Whitethroat,Curruca communis,38,87.5,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Black-headed Gull,Chroicocephalus ridibundus,35,87.5,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Goldfinch,Carduelis carduelis,33,87.5,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Carrion Crow,Corvus corone,26,87.5,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Jackdaw,Corvus monedula,18,62.5,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Mallard,Anas platyrhynchos,14,75,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Egyptian Goose,Alopochen aegyptiaca,12,62.5,introduced,,
Attenborough,1,52.90123,-1.239022,willow scrub,Reed Warbler,Acrocephalus scirpaceus,10,50,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Gadwall,Mareca strepera,9,50,amber,,
Attenborough,1,52.90123,-1.239022,willow scrub,Great Crested Grebe,Podiceps cristatus,9,25,green,,
Attenborough,1,52.90123,-1.239022,willow scrub,Grey Heron,Ardea cinerea,5,25,green,,
