Survey ID,Initials,Date,Time,Site,Survey Point,Temperature (°C),Cloud Cover (%),Wind (Beaufort),Latitude,Longitude,Species,Scientific_Name,Count,Notes
2,AM,29/06/2024,610,Knepp,2,11,10,bf0,50.968,-0.3688,Blackbird,Turdus_merula,1,
4,AM,29/06/2024,655,Knepp,36,12,20,bf0,50.9652,-0.3726,Blackbird,Turdus_merula,1,
5,AM,29/06/2024,714,Knepp,37,12,20,bf1,50.9632,-0.3737,Blackbird,Turdus_merula,1,
6,AM,29/06/2024,738,Knepp,34,12,20,bf1,50.9623,-0.3792,Blackbird,Turdus_merula,2,
7,AM,29/06/2024,816,Knepp,38,13,20,bf2,50.9677,-0.3843,Blackbird,Turdus_merula,1,
8,AM,29/06/2024,832,Knepp,31,14,25,bf1,50.9704,-0.384,Blackbird,Turdus_merula,2,
16,AM,30/06/2024,621,Knepp,7,14,80,bf1,50.9759,-0.3625,Blackbird,Turdus_merula,2,Kingfisher flyby 1
25,AM,30/06/2024,959,Knepp,18,19,100,bf4,50.9637,-0.3609,Blackbird,Turdus_merula,1,
30,AM,01/07/2024,624,Knepp,14,14,100,bf1,50.9714,-0.3754,Blackbird,Turdus_merula,1,
31,AM,01/07/2024,640,Knepp,4,14,100,bf1,50.9717,-0.3704,Blackbird,Turdus_merula,1,
36,AM,01/07/2024,943,Knepp,21,17,90,bf2,50.9779,-0.3836,Blackbird,Turdus_merula,1,Opwall campsite with lots of tents
3,AM,29/06/2024,631,Knepp,35,12,20,bf0,50.9684,-0.3759,Blackcap,Sylvia_atricapilla,1,
4,AM,29/06/2024,655,Knepp,36,12,20,bf0,50.9652,-0.3726,Blackcap,Sylvia_atricapilla,2,
7,AM,29/06/2024,816,Knepp,38,13,25,bf2,50.9677,-0.3843,Blackcap,Sylvia_atricapilla,1,
8,AM,29/06/2024,832,Knepp,31,14,25,bf1,50.9704,-0.384,Blackcap,Sylvia_atricapilla,1,
14,AM,30/06/2024,548,Knepp,15,14,80,bf1,50.9736,-0.3638,Blackcap,Sylvia_atricapilla,1,Swallows overhead 7
15,AM,30/06/2024,604,Knepp,6,14,80,bf1,50.975,-0.3646,Blackcap,Sylvia_atricapilla,1,Swallows overhead 4
20,AM,30/06/2024,756,Knepp,10,17,30,bf1,50.9763,-0.3707,Blackcap,Sylvia_atricapilla,1,
27,AM,01/07/2024,529,Knepp,24,13,100,bf1,50.9749,-0.3827,Blackcap,Sylvia_atricapilla,1,
28,AM,01/07/2024,547,Knepp,13,13,100,bf1,50.9743,-0.38,Blackcap,Sylvia_atricapilla,2,
29,AM,01/07/2024,607,Knepp,30,13,100,bf1,50.9702,-0.3788,Blackcap,Sylvia_atricapilla,1,Many other birds >25m
4,AM,29/06/2024,655,Knepp,36,12,20,bf0,50.9652,-0.3726,Blue tit,Cyanistes_caeruleus,1,
6,AM,29/06/2024,738,Knepp,34,12,20,bf1,50.9623,-0.3792,Blue tit,Cyanistes_caeruleus,1,
8,AM,29/06/2024,832,Knepp,31,14,25,bf1,50.9704,-0.384,Blue tit,Cyanistes_caeruleus,1,
12,AM,29/06/2024,952,Knepp,28,18,10,bf1,50.9702,-0.3912,Blue tit,Cyanistes_caeruleus,2,
13,AM,29/06/2024,1009,Knepp,26,18,10,bf1,50.9728,-0.3934,Blue tit,Cyanistes_caeruleus,2,Fox
15,AM,30/06/2024,604,Knepp,6,14,80,bf1,50.975,-0.3646,Blue tit,Cyanistes_caeruleus,3,Swallows overhead 4
16,AM,30/06/2024,621,Knepp,7,14,80,bf1,50.9759,-0.3625,Blue tit,Cyanistes_caeruleus,1,Kingfisher flyby 1
18,AM,30/06/2024,702,Knepp,8,16,100,bf1,50.9772,-0.3611,Blue tit,Cyanistes_caeruleus,3,
21,AM,30/06/2024,812,Knepp,11,17,30,bf1,50.9763,-0.375,Blue tit,Cyanistes_caeruleus,1,
28,AM,01/07/2024,547,Knepp,13,13,100,bf1,50.9743,-0.38,Blue tit,Cyanistes_caeruleus,1,
31,AM,01/07/2024,640,Knepp,4,14,100,bf1,50.9717,-0.3704,Blue tit,Cyanistes_caeruleus,1,
32,AM,01/07/2024,658,Knepp,3,14,100,bf1,50.9705,-0.3704,Blue tit,Cyanistes_caeruleus,1,
33,AM,01/07/2024,839,Knepp,27,16,60,bf2,50.9714,-0.3921,Blue tit,Cyanistes_caeruleus,6,
3,AM,29/06/2024,631,Knepp,35,12,20,bf0,50.9684,-0.3759,Bullfinch,Pyrrhula_pyrrhula,1,
