Site,Location_ID,Lat,Long,Habitat,UK Name,Scientific_Name,Month_ID,Month 1 Days Detected (%),Conservation Status (IUCN GB)
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Barn Owl,Tyto_alba,3,33.3,green
Knepp,21,50.977988,-0.383713,lowland meadows,Barn Owl,Tyto_alba,1,16.7,green
Knepp,24,50.974794,-0.382577,lowland meadows,Barn Owl,Tyto_alba,4,50,green
Knepp,38,50.967649,-0.384328,other neutral grassland ,Barn Owl,Tyto_alba,2,16.7,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Blackbird,Turdus_merula,19,100,green
Knepp,2,50.967893,-0.368796,mixed scrub,Blackbird,Turdus_merula,126,100,green
Knepp,3,50.970471,-0.370462,wet woodland ,Blackbird,Turdus_merula,125,100,green
Knepp,4,50.971696,-0.370439,bramble scrub,Blackbird,Turdus_merula,249,100,green
Knepp,5,50.975371,-0.366484,modified grassland,Blackbird,Turdus_merula,112,100,green
Knepp,6,50.975175,-0.364672,modified grassland,Blackbird,Turdus_merula,76,100,green
Knepp,7,50.976056,-0.362541,wet woodland ,Blackbird,Turdus_merula,72,100,green
Knepp,8,50.977368,-0.361089,wet woodland ,Blackbird,Turdus_merula,61,100,green
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Blackbird,Turdus_merula,29,83.3,green
Knepp,10,50.976519,-0.370451,mixed scrub,Blackbird,Turdus_merula,38,100,green
Knepp,11,50.976229,-0.374935,"other woodland, mixed",Blackbird,Turdus_merula,71,100,green
Knepp,12,50.978996,-0.375064,lowland mixed deciduous woodland,Blackbird,Turdus_merula,39,100,green
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Blackbird,Turdus_merula,39,100,green
Knepp,14,50.971394,-0.375411,"other woodland, mixed",Blackbird,Turdus_merula,33,100,green
Knepp,16,50.978814,-0.390672,mixed scrub,Blackbird,Turdus_merula,36,83.3,green
Knepp,17,50.96658,-0.357639,"other woodland, mixed",Blackbird,Turdus_merula,276,100,green
Knepp,18,50.963607,-0.360491,other neutral grassland ,Blackbird,Turdus_merula,34,100,green
Knepp,19,50.969009,-0.358008,bramble scrub,Blackbird,Turdus_merula,77,100,green
Knepp,20,50.966678,-0.360799,bramble scrub,Blackbird,Turdus_merula,6,33.3,green
Knepp,21,50.977988,-0.383713,lowland meadows,Blackbird,Turdus_merula,74,100,green
Knepp,22,50.977833,-0.380611,lowland meadows,Blackbird,Turdus_merula,100,100,green
Knepp,23,50.976772,-0.38361,mixed scrub,Blackbird,Turdus_merula,151,100,green
Knepp,24,50.974794,-0.382577,lowland meadows,Blackbird,Turdus_merula,54,100,green
Knepp,25,50.97433,-0.386824,other neutral grassland ,Blackbird,Turdus_merula,93,100,green
Knepp,26,50.972617,-0.393717,"other woodland, mixed",Blackbird,Turdus_merula,96,100,green
Knepp,27,50.971443,-0.392173,modified grassland,Blackbird,Turdus_merula,124,100,green
Knepp,28,50.969925,-0.391089,modified grassland,Blackbird,Turdus_merula,152,100,green
Knepp,29,50.96984,-0.387641,modified grassland,Blackbird,Turdus_merula,173,100,green
Knepp,30,50.970291,-0.378981,lowland mixed deciduous woodland,Blackbird,Turdus_merula,16,100,green
Knepp,31,50.970467,-0.383928,wet woodland ,Blackbird,Turdus_merula,134,100,green
Knepp,32,50.970698,-0.38572,bramble scrub,Blackbird,Turdus_merula,18,100,green
Knepp,33,50.971291,-0.388367,bramble scrub,Blackbird,Turdus_merula,206,100,green
Knepp,34,50.962368,-0.379207,lowland mixed deciduous woodland,Blackbird,Turdus_merula,66,100,green
Knepp,35,50.968283,-0.375798,wet woodland ,Blackbird,Turdus_merula,243,100,green
Knepp,36,50.965162,-0.372673,lowland mixed deciduous woodland,Blackbird,Turdus_merula,146,100,green
Knepp,37,50.963235,-0.373844,mixed scrub,Blackbird,Turdus_merula,73,100,green
Knepp,38,50.967649,-0.384328,other neutral grassland ,Blackbird,Turdus_merula,111,100,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Blackcap,Sylvia_atricapilla,5,33.3,green
Knepp,3,50.970471,-0.370462,wet woodland ,Blackcap,Sylvia_atricapilla,187,100,green
Knepp,4,50.971696,-0.370439,bramble scrub,Blackcap,Sylvia_atricapilla,15,83.3,green
Knepp,5,50.975371,-0.366484,modified grassland,Blackcap,Sylvia_atricapilla,10,83.3,green
Knepp,7,50.976056,-0.362541,wet woodland ,Blackcap,Sylvia_atricapilla,4,16.7,green
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Blackcap,Sylvia_atricapilla,34,83.3,green
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Blackcap,Sylvia_atricapilla,158,100,green
Knepp,16,50.978814,-0.390672,mixed scrub,Blackcap,Sylvia_atricapilla,120,83.3,green
Knepp,17,50.96658,-0.357639,"other woodland, mixed",Blackcap,Sylvia_atricapilla,4,33.3,green
Knepp,25,50.97433,-0.386824,other neutral grassland ,Blackcap,Sylvia_atricapilla,60,100,green
Knepp,28,50.969925,-0.391089,modified grassland,Blackcap,Sylvia_atricapilla,22,83.3,green
Knepp,29,50.96984,-0.387641,modified grassland,Blackcap,Sylvia_atricapilla,98,100,green
Knepp,30,50.970291,-0.378981,lowland mixed deciduous woodland,Blackcap,Sylvia_atricapilla,22,100,green
Knepp,31,50.970467,-0.383928,wet woodland ,Blackcap,Sylvia_atricapilla,230,66.7,green
Knepp,34,50.962368,-0.379207,lowland mixed deciduous woodland,Blackcap,Sylvia_atricapilla,52,50,green
Knepp,35,50.968283,-0.375798,wet woodland ,Blackcap,Sylvia_atricapilla,19,100,green
Knepp,36,50.965162,-0.372673,lowland mixed deciduous woodland,Blackcap,Sylvia_atricapilla,39,100,green
Knepp,37,50.963235,-0.373844,mixed scrub,Blackcap,Sylvia_atricapilla,12,66.7,green
Knepp,38,50.967649,-0.384328,other neutral grassland ,Blackcap,Sylvia_atricapilla,39,100,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Blue Tit,Cyanistes_caeruleus,11,83.3,green
Knepp,2,50.967893,-0.368796,mixed scrub,Blue Tit,Cyanistes_caeruleus,11,66.7,green
Knepp,3,50.970471,-0.370462,wet woodland ,Blue Tit,Cyanistes_caeruleus,68,100,green
Knepp,4,50.971696,-0.370439,bramble scrub,Blue Tit,Cyanistes_caeruleus,12,83.3,green
Knepp,5,50.975371,-0.366484,modified grassland,Blue Tit,Cyanistes_caeruleus,30,100,green
Knepp,6,50.975175,-0.364672,modified grassland,Blue Tit,Cyanistes_caeruleus,76,100,green
Knepp,7,50.976056,-0.362541,wet woodland ,Blue Tit,Cyanistes_caeruleus,13,100,green
Knepp,8,50.977368,-0.361089,wet woodland ,Blue Tit,Cyanistes_caeruleus,62,100,green
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Blue Tit,Cyanistes_caeruleus,28,83.3,green
Knepp,10,50.976519,-0.370451,mixed scrub,Blue Tit,Cyanistes_caeruleus,14,66.7,green
Knepp,11,50.976229,-0.374935,"other woodland, mixed",Blue Tit,Cyanistes_caeruleus,27,83.3,green
Knepp,12,50.978996,-0.375064,lowland mixed deciduous woodland,Blue Tit,Cyanistes_caeruleus,25,83.3,green
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Blue Tit,Cyanistes_caeruleus,34,100,green
Knepp,14,50.971394,-0.375411,"other woodland, mixed",Blue Tit,Cyanistes_caeruleus,36,100,green
Knepp,16,50.978814,-0.390672,mixed scrub,Blue Tit,Cyanistes_caeruleus,11,66.7,green
Knepp,17,50.96658,-0.357639,"other woodland, mixed",Blue Tit,Cyanistes_caeruleus,23,100,green
Knepp,18,50.963607,-0.360491,other neutral grassland ,Blue Tit,Cyanistes_caeruleus,68,100,green
Knepp,19,50.969009,-0.358008,bramble scrub,Blue Tit,Cyanistes_caeruleus,19,83.3,green
Knepp,20,50.966678,-0.360799,bramble scrub,Blue Tit,Cyanistes_caeruleus,12,66.7,green
Knepp,21,50.977988,-0.383713,lowland meadows,Blue Tit,Cyanistes_caeruleus,9,50,green
Knepp,22,50.977833,-0.380611,lowland meadows,Blue Tit,Cyanistes_caeruleus,32,66.7,green
Knepp,23,50.976772,-0.38361,mixed scrub,Blue Tit,Cyanistes_caeruleus,10,66.7,green
Knepp,24,50.974794,-0.382577,lowland meadows,Blue Tit,Cyanistes_caeruleus,83,100,green
Knepp,27,50.971443,-0.392173,modified grassland,Blue Tit,Cyanistes_caeruleus,131,100,green
Knepp,28,50.969925,-0.391089,modified grassland,Blue Tit,Cyanistes_caeruleus,140,100,green
Knepp,29,50.96984,-0.387641,modified grassland,Blue Tit,Cyanistes_caeruleus,36,100,green
Knepp,30,50.970291,-0.378981,lowland mixed deciduous woodland,Blue Tit,Cyanistes_caeruleus,7,33.3,green
Knepp,31,50.970467,-0.383928,wet woodland ,Blue Tit,Cyanistes_caeruleus,107,100,green
Knepp,33,50.971291,-0.388367,bramble scrub,Blue Tit,Cyanistes_caeruleus,40,100,green
Knepp,34,50.962368,-0.379207,lowland mixed deciduous woodland,Blue Tit,Cyanistes_caeruleus,7,50,green
Knepp,35,50.968283,-0.375798,wet woodland ,Blue Tit,Cyanistes_caeruleus,49,100,green
Knepp,36,50.965162,-0.372673,lowland mixed deciduous woodland,Blue Tit,Cyanistes_caeruleus,14,50,green
Knepp,37,50.963235,-0.373844,mixed scrub,Blue Tit,Cyanistes_caeruleus,14,83.3,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Bullfinch,Pyrrhula_pyrrhula,58,100,amber
Knepp,2,50.967893,-0.368796,mixed scrub,Bullfinch,Pyrrhula_pyrrhula,90,100,amber
Knepp,5,50.975371,-0.366484,modified grassland,Bullfinch,Pyrrhula_pyrrhula,8,50,amber
Knepp,6,50.975175,-0.364672,modified grassland,Bullfinch,Pyrrhula_pyrrhula,26,100,amber
Knepp,7,50.976056,-0.362541,wet woodland ,Bullfinch,Pyrrhula_pyrrhula,15,83.3,amber
Knepp,8,50.977368,-0.361089,wet woodland ,Bullfinch,Pyrrhula_pyrrhula,16,83.3,amber
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Bullfinch,Pyrrhula_pyrrhula,186,100,amber
Knepp,10,50.976519,-0.370451,mixed scrub,Bullfinch,Pyrrhula_pyrrhula,103,100,amber
Knepp,14,50.971394,-0.375411,"other woodland, mixed",Bullfinch,Pyrrhula_pyrrhula,5,50,amber
Knepp,16,50.978814,-0.390672,mixed scrub,Bullfinch,Pyrrhula_pyrrhula,23,83.3,amber
Knepp,17,50.96658,-0.357639,"other woodland, mixed",Bullfinch,Pyrrhula_pyrrhula,17,50,amber
Knepp,23,50.976772,-0.38361,mixed scrub,Bullfinch,Pyrrhula_pyrrhula,29,66.7,amber
Knepp,24,50.974794,-0.382577,lowland meadows,Bullfinch,Pyrrhula_pyrrhula,59,100,amber
Knepp,30,50.970291,-0.378981,lowland mixed deciduous woodland,Bullfinch,Pyrrhula_pyrrhula,12,66.7,amber
Knepp,31,50.970467,-0.383928,wet woodland ,Bullfinch,Pyrrhula_pyrrhula,36,100,amber
Knepp,34,50.962368,-0.379207,lowland mixed deciduous woodland,Bullfinch,Pyrrhula_pyrrhula,5,16.7,amber
Knepp,35,50.968283,-0.375798,wet woodland ,Bullfinch,Pyrrhula_pyrrhula,124,100,amber
Knepp,37,50.963235,-0.373844,mixed scrub,Bullfinch,Pyrrhula_pyrrhula,36,100,amber
Knepp,1,50.970786,-0.365226,other neutral grassland ,Buzzard,Buteo_buteo,13,66.7,green
Knepp,2,50.967893,-0.368796,mixed scrub,Buzzard,Buteo_buteo,13,100,green
Knepp,4,50.971696,-0.370439,bramble scrub,Buzzard,Buteo_buteo,6,66.7,green
Knepp,6,50.975175,-0.364672,modified grassland,Buzzard,Buteo_buteo,36,83.3,green
Knepp,7,50.976056,-0.362541,wet woodland ,Buzzard,Buteo_buteo,8,83.3,green
Knepp,10,50.976519,-0.370451,mixed scrub,Buzzard,Buteo_buteo,22,83.3,green
Knepp,11,50.976229,-0.374935,"other woodland, mixed",Buzzard,Buteo_buteo,4,50,green
Knepp,12,50.978996,-0.375064,lowland mixed deciduous woodland,Buzzard,Buteo_buteo,14,66.7,green
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Buzzard,Buteo_buteo,12,83.3,green
Knepp,19,50.969009,-0.358008,bramble scrub,Buzzard,Buteo_buteo,2,33.3,green
Knepp,20,50.966678,-0.360799,bramble scrub,Buzzard,Buteo_buteo,11,50,green
Knepp,21,50.977988,-0.383713,lowland meadows,Buzzard,Buteo_buteo,15,100,green
Knepp,22,50.977833,-0.380611,lowland meadows,Buzzard,Buteo_buteo,4,33.3,green
Knepp,23,50.976772,-0.38361,mixed scrub,Buzzard,Buteo_buteo,3,50,green
Knepp,24,50.974794,-0.382577,lowland meadows,Buzzard,Buteo_buteo,6,66.7,green
Knepp,25,50.97433,-0.386824,other neutral grassland ,Buzzard,Buteo_buteo,3,33.3,green
Knepp,26,50.972617,-0.393717,"other woodland, mixed",Buzzard,Buteo_buteo,14,66.7,green
Knepp,27,50.971443,-0.392173,modified grassland,Buzzard,Buteo_buteo,8,66.7,green
Knepp,28,50.969925,-0.391089,modified grassland,Buzzard,Buteo_buteo,4,33.3,green
Knepp,29,50.96984,-0.387641,modified grassland,Buzzard,Buteo_buteo,10,83.3,green
Knepp,31,50.970467,-0.383928,wet woodland ,Buzzard,Buteo_buteo,9,66.7,green
Knepp,32,50.970698,-0.38572,bramble scrub,Buzzard,Buteo_buteo,27,100,green
Knepp,33,50.971291,-0.388367,bramble scrub,Buzzard,Buteo_buteo,21,100,green
Knepp,35,50.968283,-0.375798,wet woodland ,Buzzard,Buteo_buteo,5,33.3,green
Knepp,36,50.965162,-0.372673,lowland mixed deciduous woodland,Buzzard,Buteo_buteo,18,83.3,green
Knepp,38,50.967649,-0.384328,other neutral grassland ,Buzzard,Buteo_buteo,22,83.3,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Carrion Crow,Corvus_corone,45,100,green
Knepp,2,50.967893,-0.368796,mixed scrub,Carrion Crow,Corvus_corone,7,66.7,green
Knepp,3,50.970471,-0.370462,wet woodland ,Carrion Crow,Corvus_corone,3,50,green
Knepp,4,50.971696,-0.370439,bramble scrub,Carrion Crow,Corvus_corone,2,33.3,green
Knepp,5,50.975371,-0.366484,modified grassland,Carrion Crow,Corvus_corone,15,83.3,green
Knepp,6,50.975175,-0.364672,modified grassland,Carrion Crow,Corvus_corone,58,100,green
Knepp,7,50.976056,-0.362541,wet woodland ,Carrion Crow,Corvus_corone,12,100,green
Knepp,8,50.977368,-0.361089,wet woodland ,Carrion Crow,Corvus_corone,20,83.3,green
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Carrion Crow,Corvus_corone,16,66.7,green
Knepp,10,50.976519,-0.370451,mixed scrub,Carrion Crow,Corvus_corone,5,50,green
Knepp,11,50.976229,-0.374935,"other woodland, mixed",Carrion Crow,Corvus_corone,30,100,green
Knepp,12,50.978996,-0.375064,lowland mixed deciduous woodland,Carrion Crow,Corvus_corone,12,66.7,green
Knepp,13,50.974165,-0.379955,"other woodland, mixed",Carrion Crow,Corvus_corone,6,50,green
Knepp,14,50.971394,-0.375411,"other woodland, mixed",Carrion Crow,Corvus_corone,38,100,green
Knepp,16,50.978814,-0.390672,mixed scrub,Carrion Crow,Corvus_corone,12,83.3,green
Knepp,17,50.96658,-0.357639,"other woodland, mixed",Carrion Crow,Corvus_corone,9,83.3,green
Knepp,18,50.963607,-0.360491,other neutral grassland ,Carrion Crow,Corvus_corone,54,100,green
Knepp,19,50.969009,-0.358008,bramble scrub,Carrion Crow,Corvus_corone,21,100,green
Knepp,20,50.966678,-0.360799,bramble scrub,Carrion Crow,Corvus_corone,31,100,green
Knepp,21,50.977988,-0.383713,lowland meadows,Carrion Crow,Corvus_corone,10,50,green
Knepp,22,50.977833,-0.380611,lowland meadows,Carrion Crow,Corvus_corone,3,33.3,green
Knepp,23,50.976772,-0.38361,mixed scrub,Carrion Crow,Corvus_corone,6,33.3,green
Knepp,24,50.974794,-0.382577,lowland meadows,Carrion Crow,Corvus_corone,18,83.3,green
Knepp,25,50.97433,-0.386824,other neutral grassland ,Carrion Crow,Corvus_corone,10,83.3,green
Knepp,26,50.972617,-0.393717,"other woodland, mixed",Carrion Crow,Corvus_corone,38,100,green
Knepp,27,50.971443,-0.392173,modified grassland,Carrion Crow,Corvus_corone,61,100,green
Knepp,28,50.969925,-0.391089,modified grassland,Carrion Crow,Corvus_corone,56,100,green
Knepp,29,50.96984,-0.387641,modified grassland,Carrion Crow,Corvus_corone,23,100,green
Knepp,30,50.970291,-0.378981,lowland mixed deciduous woodland,Carrion Crow,Corvus_corone,6,33.3,green
Knepp,31,50.970467,-0.383928,wet woodland ,Carrion Crow,Corvus_corone,8,66.7,green
Knepp,32,50.970698,-0.38572,bramble scrub,Carrion Crow,Corvus_corone,6,66.7,green
Knepp,33,50.971291,-0.388367,bramble scrub,Carrion Crow,Corvus_corone,17,83.3,green
Knepp,34,50.962368,-0.379207,lowland mixed deciduous woodland,Carrion Crow,Corvus_corone,3,50,green
Knepp,35,50.968283,-0.375798,wet woodland ,Carrion Crow,Corvus_corone,2,33.3,green
Knepp,36,50.965162,-0.372673,lowland mixed deciduous woodland,Carrion Crow,Corvus_corone,43,100,green
Knepp,37,50.963235,-0.373844,mixed scrub,Carrion Crow,Corvus_corone,8,83.3,green
Knepp,38,50.967649,-0.384328,other neutral grassland ,Carrion Crow,Corvus_corone,24,100,green
Knepp,5,50.975371,-0.366484,modified grassland,Chaffinch,Fringilla_coelebs,18,50,green
Knepp,18,50.963607,-0.360491,other neutral grassland ,Chaffinch,Fringilla_coelebs,3,33.3,green
Knepp,1,50.970786,-0.365226,other neutral grassland ,Chiffchaff,Phylloscopus_collybita,87,100,green
Knepp,2,50.967893,-0.368796,mixed scrub,Chiffchaff,Phylloscopus_collybita,1719,100,green
Knepp,3,50.970471,-0.370462,wet woodland ,Chiffchaff,Phylloscopus_collybita,772,100,green
Knepp,4,50.971696,-0.370439,bramble scrub,Chiffchaff,Phylloscopus_collybita,1781,100,green
Knepp,5,50.975371,-0.366484,modified grassland,Chiffchaff,Phylloscopus_collybita,346,100,green
Knepp,6,50.975175,-0.364672,modified grassland,Chiffchaff,Phylloscopus_collybita,6,66.7,green
Knepp,7,50.976056,-0.362541,wet woodland ,Chiffchaff,Phylloscopus_collybita,948,100,green
Knepp,8,50.977368,-0.361089,wet woodland ,Chiffchaff,Phylloscopus_collybita,2601,100,green
Knepp,9,50.974935,-0.371197,lowland mixed deciduous woodland,Chiffchaff,Phylloscopus_collybita,2142,100,green
